?û³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼??û	¶ÔÓ¦Îï¼?Ë÷??	¿í¶È	¸ß¶È	Ëµ?÷ÎÄ×Ö	Îå??Êô?Ô	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµ?·Å	»ù´¡Êô?Ô1Àà?Í	»ù´¡Êô?Ô1×î?¡Öµ	»ù´¡Êô?Ô1×î´óÖµ	»ù´¡Êô?Ô2Àà?Í	»ù´¡Êô?Ô2×î?¡Öµ	»ù´¡Êô?Ô2×î´óÖµ	»ù´¡Êô?Ô3Àà?Í	»ù´¡Êô?Ô3×î?¡Öµ	»ù´¡Êô?Ô3×î´óÖµ	»ù´¡Êô?Ô4Àà?Í	»ù´¡Êô?Ô4×î?¡Öµ	»ù´¡Êô?Ô4×î´óÖµ	»ù´¡Êô?Ô5Àà?Í	»ù´¡Êô?Ô5×î?¡Öµ	»ù´¡Êô?Ô5×î´óÖµ	»ù´¡Êô?Ô6Àà?Í	»ù´¡Êô?Ô6×î?¡Öµ	»ù´¡Êô?Ô6×î´óÖµ	»ù´¡Êô?Ô7Àà?Í	»ù´¡Êô?Ô7×î?¡Öµ	»ù´¡Êô?Ô7×î´óÖµ	?èÇóÊô?Ô1Àà?Í	?èÇóÊô?Ô1Ê?Öµ	?èÇóÊô?Ô2Àà?Í	?èÇóÊô?Ô2Ê?Öµ	?èÇóÊô?Ô3Àà?Í	?èÇóÊô?Ô3Ê?Öµ	?èÇóÊô?Ô4Àà?Í	?èÇóÊô?Ô4Ê?Öµ	?èÇóÊô?Ô5Àà?Í	?èÇóÊô?Ô5Ê?Öµ	?èÇóÊô?Ô6Àà?Í	?èÇóÊô?Ô6Ê?Öµ
H·n HuyÕt Long C©u	0	10	18	\spr\item\equip\horse\horse008.spr	40	2	3	"Uy phong lÉm liÖt, chØ c? bËc v­¬ng gi¶ míi ®ñ n¨ng lùc c­?i."	5	500000	5	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	114	20	20				36	150										
H·n HuyÕt Long C©u	0	10	18	\spr\item\equip\horse\horse008.spr	40	2	3	"Uy phong lÉm liÖt, chØ c? bËc v­¬ng gi¶ míi ®ñ n¨ng lùc c­?i."	5	500000	6	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	114	20	20				36	150										
H·n HuyÕt Long C©u	0	10	18	\spr\item\equip\horse\horse008.spr	40	2	3	"Uy phong lÉm liÖt, chØ c? bËc v­¬ng gi¶ míi ®ñ n¨ng lùc c­?i."	5	500000	7	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	114	20	20				36	150										
H·n HuyÕt Long C©u	0	10	18	\spr\item\equip\horse\horse008.spr	40	2	3	"Uy phong lÉm liÖt, chØ c? bËc v­¬ng gi¶ míi ®ñ n¨ng lùc c­?i."	5	500000	8	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	114	20	20				36	150										
H·n HuyÕt Long C©u	0	10	18	\spr\item\equip\horse\horse008.spr	40	2	3	"Uy phong lÉm liÖt, chØ c? bËc v­¬ng gi¶ míi ®ñ n¨ng lùc c­?i."	5	500000	9	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	114	20	20				36	150										
H·n HuyÕt Long C©u	0	10	18	\spr\item\equip\horse\horse008.spr	40	2	3	"Uy phong lÉm liÖt, chØ c? bËc v­¬ng gi¶ míi ®ñ n¨ng lùc c­?i."	5	500000	10	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20	114	20	20				36	150										
Phong V©n B¹ch M·	0	10	19	\spr\item\equip\horse\horse012.spr	40	2	3	Phong V©n B¹ch M·.	5	99999	1	0	111	100%	100%	93	1000	1000	85	700	700	150	700	700	114	10	10	233	700	700	241	10	10	36	150										
Phong V©n B¹ch M·	0	10	19	\spr\item\equip\horse\horse012.spr	40	2	3	Phong V©n B¹ch M·.	5	99999	2	0	111	100%	100%	93	1000	1000	85	700	700	150	700	700	114	10	10	233	700	700	241	10	10	36	150										
Phong V©n B¹ch M·	0	10	19	\spr\item\equip\horse\horse012.spr	40	2	3	Phong V©n B¹ch M·.	5	99999	3	0	111	100%	100%	93	1000	1000	85	700	700	150	700	700	114	10	10	233	700	700	241	10	10	36	150										
Phong V©n B¹ch M·	0	10	19	\spr\item\equip\horse\horse012.spr	40	2	3	Phong V©n B¹ch M·.	5	99999	4	0	111	100%	100%	93	1000	1000	85	700	700	150	700	700	114	10	10	233	700	700	241	10	10	36	150										
Phong V©n B¹ch M·	0	10	19	\spr\item\equip\horse\horse012.spr	40	2	3	Phong V©n B¹ch M·.	5	99999	5	0	111	100%	100%	93	1000	1000	85	700	700	150	700	700	114	10	10	233	700	700	241	10	10	36	150										
Phong V©n B¹ch M·	0	10	19	\spr\item\equip\horse\horse012.spr	40	2	3	Phong V©n B¹ch M·.	5	99999	6	0	111	100%	100%	93	1000	1000	85	700	700	150	700	700	114	10	10	233	700	700	241	10	10	36	150										
Phong V©n B¹ch M·	0	10	19	\spr\item\equip\horse\horse012.spr	40	2	3	Phong V©n B¹ch M·.	5	99999	7	0	111	100%	100%	93	1000	1000	85	700	700	150	700	700	114	10	10	233	700	700	241	10	10	36	150										
Phong V©n B¹ch M·	0	10	19	\spr\item\equip\horse\horse012.spr	40	2	3	Phong V©n B¹ch M·.	5	99999	8	0	111	100%	100%	93	1000	1000	85	700	700	150	700	700	114	10	10	233	700	700	241	10	10	36	150										
Phong V©n B¹ch M·	0	10	19	\spr\item\equip\horse\horse012.spr	40	2	3	Phong V©n B¹ch M·.	5	99999	9	0	111	100%	100%	93	1000	1000	85	700	700	150	700	700	114	10	10	233	700	700	241	10	10	36	150										
Phong V©n B¹ch M·	0	10	19	\spr\item\equip\horse\horse012.spr	40	2	3	Phong V©n B¹ch M·.	5	99999	10	0	111	100%	100%	93	1000	1000	85	700	700	150	700	700	114	10	10	233	700	700	241	10	10	36	150										
Phong V©n ChiÕn M·	0	10	20	\spr\item\equip\horse\horse012.spr	40	2	3	Phong V©n Chi?n M·.	5	99999	1	0	111	110%	110%	93	1000	1000	85	1000	1000	150	1000	1000	114	15	15	233	1000	1000	241	15	15	36	150										
Phong V©n ChiÕn M·	0	10	20	\spr\item\equip\horse\horse012.spr	40	2	3	Phong V©n Chi?n M·.	5	99999	2	0	111	110%	110%	93	1000	1000	85	1000	1000	150	1000	1000	114	15	15	233	1000	1000	241	15	15	36	150										
Phong V©n ChiÕn M·	0	10	20	\spr\item\equip\horse\horse012.spr	40	2	3	Phong V©n Chi?n M·.	5	99999	3	0	111	110%	110%	93	1000	1000	85	1000	1000	150	1000	1000	114	15	15	233	1000	1000	241	15	15	36	150										
Phong V©n ChiÕn M·	0	10	20	\spr\item\equip\horse\horse012.spr	40	2	3	Phong V©n Chi?n M·.	5	99999	4	0	111	110%	110%	93	1000	1000	85	1000	1000	150	1000	1000	114	15	15	233	1000	1000	241	15	15	36	150										
Phong V©n ChiÕn M·	0	10	20	\spr\item\equip\horse\horse012.spr	40	2	3	Phong V©n Chi?n M·.	5	99999	5	0	111	110%	110%	93	1000	1000	85	1000	1000	150	1000	1000	114	15	15	233	1000	1000	241	15	15	36	150										
Phong V©n ChiÕn M·	0	10	20	\spr\item\equip\horse\horse012.spr	40	2	3	Phong V©n Chi?n M·.	5	99999	6	0	111	110%	110%	93	1000	1000	85	1000	1000	150	1000	1000	114	15	15	233	1000	1000	241	15	15	36	150										
Phong V©n ChiÕn M·	0	10	20	\spr\item\equip\horse\horse012.spr	40	2	3	Phong V©n Chi?n M·.	5	99999	7	0	111	110%	110%	93	1000	1000	85	1000	1000	150	1000	1000	114	15	15	233	1000	1000	241	15	15	36	150										
Phong V©n ChiÕn M·	0	10	20	\spr\item\equip\horse\horse012.spr	40	2	3	Phong V©n Chi?n M·.	5	99999	8	0	111	110%	110%	93	1000	1000	85	1000	1000	150	1000	1000	114	15	15	233	1000	1000	241	15	15	36	150										
Phong V©n ChiÕn M·	0	10	20	\spr\item\equip\horse\horse012.spr	40	2	3	Phong V©n Chi?n M·.	5	99999	9	0	111	110%	110%	93	1000	1000	85	1000	1000	150	1000	1000	114	15	15	233	1000	1000	241	15	15	36	150										
Phong V©n ChiÕn M·	0	10	20	\spr\item\equip\horse\horse012.spr	40	2	3	Phong V©n Chi?n M·.	5	99999	10	0	111	110%	110%	93	1000	1000	85	1000	1000	150	1000	1000	114	15	15	233	1000	1000	241	15	15	36	150										
Phong V©n ThÇn M·	0	10	21	\spr\item\equip\horse\horse012.spr	40	2	3	Phong V©n ThÇn M·.	5	500000	1	0	111	120%	120%	93	1500	1500	85	1500	1500	150	1000	1000	114	15	15	233	1500	1500	241	15	15	36	150										
Phong V©n ThÇn M·	0	10	21	\spr\item\equip\horse\horse012.spr	40	2	3	Phong V©n ThÇn M·.	5	500000	2	0	111	120%	120%	93	1500	1500	85	1500	1500	150	1000	1000	114	15	15	233	1500	1500	241	15	15	36	150										
Phong V©n ThÇn M·	0	10	21	\spr\item\equip\horse\horse012.spr	40	2	3	Phong V©n ThÇn M·.	5	500000	3	0	111	120%	120%	93	1500	1500	85	1500	1500	150	1000	1000	114	15	15	233	1500	1500	241	15	15	36	150										
Phong V©n ThÇn M·	0	10	21	\spr\item\equip\horse\horse012.spr	40	2	3	Phong V©n ThÇn M·.	5	500000	4	0	111	120%	120%	93	1500	1500	85	1500	1500	150	1000	1000	114	15	15	233	1500	1500	241	15	15	36	150										
Phong V©n ThÇn M·	0	10	21	\spr\item\equip\horse\horse012.spr	40	2	3	Phong V©n ThÇn M·.	5	500000	5	0	111	120%	120%	93	1500	1500	85	1500	1500	150	1000	1000	114	15	15	233	1500	1500	241	15	15	36	150										
Phong V©n ThÇn M·	0	10	21	\spr\item\equip\horse\horse012.spr	40	2	3	Phong V©n ThÇn M·.	5	500000	6	0	111	120%	120%	93	1500	1500	85	1500	1500	150	1000	1000	114	15	15	233	1500	1500	241	15	15	36	150										
Phong V©n ThÇn M·	0	10	21	\spr\item\equip\horse\horse012.spr	40	2	3	Phong V©n ThÇn M·.	5	500000	7	0	111	120%	120%	93	1500	1500	85	1500	1500	150	1000	1000	114	15	15	233	1500	1500	241	15	15	36	150										
Phong V©n ThÇn M·	0	10	21	\spr\item\equip\horse\horse012.spr	40	2	3	Phong V©n ThÇn M·.	5	500000	8	0	111	120%	120%	93	1500	1500	85	1500	1500	150	1000	1000	114	15	15	233	1500	1500	241	15	15	36	150										
Phong V©n ThÇn M·	0	10	21	\spr\item\equip\horse\horse012.spr	40	2	3	Phong V©n ThÇn M·.	5	500000	9	0	111	120%	120%	93	1500	1500	85	1500	1500	150	1000	1000	114	15	15	233	1500	1500	241	15	15	36	150										
Phong V©n ThÇn M·	0	10	21	\spr\item\equip\horse\horse012.spr	40	2	3	Phong V©n ThÇn M·.	5	500000	10	0	111	120%	120%	93	1500	1500	85	1500	1500	150	1000	1000	114	15	15	233	1500	1500	241	15	15	36	150										
S­ Tö	0	10	22	\spr\item\equip\horse\horse035.spr	40	2	3	S­ tö	5	500000	1	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
S­ Tö	0	10	22	\spr\item\equip\horse\horse035.spr	40	2	3	S­ tö	5	500000	2	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
S­ Tö	0	10	22	\spr\item\equip\horse\horse035.spr	40	2	3	S­ tö	5	500000	3	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
S­ Tö	0	10	22	\spr\item\equip\horse\horse035.spr	40	2	3	S­ tö	5	500000	4	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
S­ Tö	0	10	22	\spr\item\equip\horse\horse035.spr	40	2	3	S­ tö	5	500000	5	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
S­ Tö	0	10	22	\spr\item\equip\horse\horse035.spr	40	2	3	S­ tö	5	500000	6	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
S­ Tö	0	10	22	\spr\item\equip\horse\horse035.spr	40	2	3	S­ tö	5	500000	7	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
S­ Tö	0	10	22	\spr\item\equip\horse\horse035.spr	40	2	3	S­ tö	5	500000	8	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
S­ Tö	0	10	22	\spr\item\equip\horse\horse035.spr	40	2	3	S­ tö	5	500000	9	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
S­ Tö	0	10	22	\spr\item\equip\horse\horse035.spr	40	2	3	S­ tö	5	500000	10	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
L¹c §µ	0	10	23	\spr\item\equip\horse\horse036.spr	40	2	3	L¹c ®µ	5	500000	1	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
L¹c §µ	0	10	23	\spr\item\equip\horse\horse036.spr	40	2	3	L¹c ®µ	5	500000	2	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
L¹c §µ	0	10	23	\spr\item\equip\horse\horse036.spr	40	2	3	L¹c ®µ	5	500000	3	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
L¹c §µ	0	10	23	\spr\item\equip\horse\horse036.spr	40	2	3	L¹c ®µ	5	500000	4	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
L¹c §µ	0	10	23	\spr\item\equip\horse\horse036.spr	40	2	3	L¹c ®µ	5	500000	5	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
L¹c §µ	0	10	23	\spr\item\equip\horse\horse036.spr	40	2	3	L¹c ®µ	5	500000	6	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
L¹c §µ	0	10	23	\spr\item\equip\horse\horse036.spr	40	2	3	L¹c ®µ	5	500000	7	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
L¹c §µ	0	10	23	\spr\item\equip\horse\horse036.spr	40	2	3	L¹c ®µ	5	500000	8	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
L¹c §µ	0	10	23	\spr\item\equip\horse\horse036.spr	40	2	3	L¹c ®µ	5	500000	9	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
L¹c §µ	0	10	23	\spr\item\equip\horse\horse036.spr	40	2	3	L¹c ®µ	5	500000	10	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
D­¬ng §µ	0	10	24	\spr\item\equip\horse\horse037.spr	40	2	3	D­¬ng §µ	5	500000	1	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
D­¬ng §µ	0	10	24	\spr\item\equip\horse\horse037.spr	40	2	3	D­¬ng §µ	5	500000	2	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
D­¬ng §µ	0	10	24	\spr\item\equip\horse\horse037.spr	40	2	3	D­¬ng §µ	5	500000	3	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
D­¬ng §µ	0	10	24	\spr\item\equip\horse\horse037.spr	40	2	3	D­¬ng §µ	5	500000	4	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
D­¬ng §µ	0	10	24	\spr\item\equip\horse\horse037.spr	40	2	3	D­¬ng §µ	5	500000	5	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
D­¬ng §µ	0	10	24	\spr\item\equip\horse\horse037.spr	40	2	3	D­¬ng §µ	5	500000	6	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
D­¬ng §µ	0	10	24	\spr\item\equip\horse\horse037.spr	40	2	3	D­¬ng §µ	5	500000	7	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
D­¬ng §µ	0	10	24	\spr\item\equip\horse\horse037.spr	40	2	3	D­¬ng §µ	5	500000	8	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
D­¬ng §µ	0	10	24	\spr\item\equip\horse\horse037.spr	40	2	3	D­¬ng §µ	5	500000	9	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
D­¬ng §µ	0	10	24	\spr\item\equip\horse\horse037.spr	40	2	3	D­¬ng §µ	5	500000	10	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
TuÇn Léc	0	10	25	\spr\item\equip\horse\horse038.spr	40	2	3	TuÇn Léc	5	500000	1	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	15	15							36	120										
TuÇn Léc	0	10	25	\spr\item\equip\horse\horse038.spr	40	2	3	TuÇn Léc	5	500000	2	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	15	15							36	120										
TuÇn Léc	0	10	25	\spr\item\equip\horse\horse038.spr	40	2	3	TuÇn Léc	5	500000	3	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	15	15							36	120										
TuÇn Léc	0	10	25	\spr\item\equip\horse\horse038.spr	40	2	3	TuÇn Léc	5	500000	4	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	15	15							36	120										
TuÇn Léc	0	10	25	\spr\item\equip\horse\horse038.spr	40	2	3	TuÇn Léc	5	500000	5	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	15	15							36	120										
TuÇn Léc	0	10	25	\spr\item\equip\horse\horse038.spr	40	2	3	TuÇn Léc	5	500000	6	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	15	15							36	120										
TuÇn Léc	0	10	25	\spr\item\equip\horse\horse038.spr	40	2	3	TuÇn Léc	5	500000	7	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	15	15							36	120										
TuÇn Léc	0	10	25	\spr\item\equip\horse\horse038.spr	40	2	3	TuÇn Léc	5	500000	8	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	15	15							36	120										
TuÇn Léc	0	10	25	\spr\item\equip\horse\horse038.spr	40	2	3	TuÇn Léc	5	500000	9	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	15	15							36	120										
TuÇn Léc	0	10	25	\spr\item\equip\horse\horse038.spr	40	2	3	TuÇn Léc	5	500000	10	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	15	15							36	120										
D­¬ng Sa	0	10	26	\spr\item\equip\horse\horse039.spr	40	2	3	"Trong truy?n thuy?t, ngùa thÇn ë T©y vùc phi ®?n ®©u lµ m?ng vuèt cña n? lµm bôi bay mï trêi, t? ®? c? tªn nµy"	0	5000	1	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
D­¬ng Sa	0	10	26	\spr\item\equip\horse\horse039.spr	40	2	3	"Trong truy?n thuy?t, ngùa thÇn ë T©y vùc phi ®?n ®©u lµ m?ng vuèt cña n? lµm bôi bay mï trêi, t? ®? c? tªn nµy"	0	5000	2	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
D­¬ng Sa	0	10	26	\spr\item\equip\horse\horse039.spr	40	2	3	"Trong truy?n thuy?t, ngùa thÇn ë T©y vùc phi ®?n ®©u lµ m?ng vuèt cña n? lµm bôi bay mï trêi, t? ®? c? tªn nµy"	0	5000	3	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
D­¬ng Sa	0	10	26	\spr\item\equip\horse\horse039.spr	40	2	3	"Trong truy?n thuy?t, ngùa thÇn ë T©y vùc phi ®?n ®©u lµ m?ng vuèt cña n? lµm bôi bay mï trêi, t? ®? c? tªn nµy"	0	5000	4	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
D­¬ng Sa	0	10	26	\spr\item\equip\horse\horse039.spr	40	2	3	"Trong truy?n thuy?t, ngùa thÇn ë T©y vùc phi ®?n ®©u lµ m?ng vuèt cña n? lµm bôi bay mï trêi, t? ®? c? tªn nµy"	0	5000	5	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
D­¬ng Sa	0	10	26	\spr\item\equip\horse\horse039.spr	40	2	3	"Trong truy?n thuy?t, ngùa thÇn ë T©y vùc phi ®?n ®©u lµ m?ng vuèt cña n? lµm bôi bay mï trêi, t? ®? c? tªn nµy"	0	5000	6	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
D­¬ng Sa	0	10	26	\spr\item\equip\horse\horse039.spr	40	2	3	"Trong truy?n thuy?t, ngùa thÇn ë T©y vùc phi ®?n ®©u lµ m?ng vuèt cña n? lµm bôi bay mï trêi, t? ®? c? tªn nµy"	0	5000	7	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
D­¬ng Sa	0	10	26	\spr\item\equip\horse\horse039.spr	40	2	3	"Trong truy?n thuy?t, ngùa thÇn ë T©y vùc phi ®?n ®©u lµ m?ng vuèt cña n? lµm bôi bay mï trêi, t? ®? c? tªn nµy"	0	5000	8	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
D­¬ng Sa	0	10	26	\spr\item\equip\horse\horse039.spr	40	2	3	"Trong truy?n thuy?t, ngùa thÇn ë T©y vùc phi ®?n ®©u lµ m?ng vuèt cña n? lµm bôi bay mï trêi, t? ®? c? tªn nµy"	0	5000	9	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
D­¬ng Sa	0	10	26	\spr\item\equip\horse\horse039.spr	40	2	3	"Trong truy?n thuy?t, ngùa thÇn ë T©y vùc phi ®?n ®©u lµ m?ng vuèt cña n? lµm bôi bay mï trêi, t? ®? c? tªn nµy"	0	5000	10	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
Ngù Phong	0	10	27	\spr\item\equip\horse\horse040.spr	40	2	3	"Phong khëi l©u lan thÊt v¹n l?, hå giµ no·n tr­íng l­?ng träng thiªn"	0	5000	1	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
Ngù Phong	0	10	27	\spr\item\equip\horse\horse040.spr	40	2	3	"Phong khëi l©u lan thÊt v¹n l?, hå giµ no·n tr­íng l­?ng träng thiªn"	0	5000	2	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
Ngù Phong	0	10	27	\spr\item\equip\horse\horse040.spr	40	2	3	"Phong khëi l©u lan thÊt v¹n l?, hå giµ no·n tr­íng l­?ng träng thiªn"	0	5000	3	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
Ngù Phong	0	10	27	\spr\item\equip\horse\horse040.spr	40	2	3	"Phong khëi l©u lan thÊt v¹n l?, hå giµ no·n tr­íng l­?ng träng thiªn"	0	5000	4	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
Ngù Phong	0	10	27	\spr\item\equip\horse\horse040.spr	40	2	3	"Phong khëi l©u lan thÊt v¹n l?, hå giµ no·n tr­íng l­?ng träng thiªn"	0	5000	5	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
Ngù Phong	0	10	27	\spr\item\equip\horse\horse040.spr	40	2	3	"Phong khëi l©u lan thÊt v¹n l?, hå giµ no·n tr­íng l­?ng träng thiªn"	0	5000	6	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
Ngù Phong	0	10	27	\spr\item\equip\horse\horse040.spr	40	2	3	"Phong khëi l©u lan thÊt v¹n l?, hå giµ no·n tr­íng l­?ng träng thiªn"	0	5000	7	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
Ngù Phong	0	10	27	\spr\item\equip\horse\horse040.spr	40	2	3	"Phong khëi l©u lan thÊt v¹n l?, hå giµ no·n tr­íng l­?ng träng thiªn"	0	5000	8	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
Ngù Phong	0	10	27	\spr\item\equip\horse\horse040.spr	40	2	3	"Phong khëi l©u lan thÊt v¹n l?, hå giµ no·n tr­íng l­?ng träng thiªn"	0	5000	9	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
Ngù Phong	0	10	27	\spr\item\equip\horse\horse040.spr	40	2	3	"Phong khëi l©u lan thÊt v¹n l?, hå giµ no·n tr­íng l­?ng träng thiªn"	0	5000	10	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
Truy ®iÖn	0	10	28	\spr\item\equip\horse\horse041.spr	40	2	3	"§iÖn quang thiÓm, ®? linh h­ëng, l«i thanh chÊn, thiªn l? dÜ thµnh th©n hËu  méng"	0	5000	1	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
Truy ®iÖn	0	10	28	\spr\item\equip\horse\horse041.spr	40	2	3	"§iÖn quang thiÓm, ®? linh h­ëng, l«i thanh chÊn, thiªn l? dÜ thµnh th©n hËu  méng"	0	5000	2	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
Truy ®iÖn	0	10	28	\spr\item\equip\horse\horse041.spr	40	2	3	"§iÖn quang thiÓm, ®? linh h­ëng, l«i thanh chÊn, thiªn l? dÜ thµnh th©n hËu  méng"	0	5000	3	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
Truy ®iÖn	0	10	28	\spr\item\equip\horse\horse041.spr	40	2	3	"§iÖn quang thiÓm, ®? linh h­ëng, l«i thanh chÊn, thiªn l? dÜ thµnh th©n hËu  méng"	0	5000	4	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
Truy ®iÖn	0	10	28	\spr\item\equip\horse\horse041.spr	40	2	3	"§iÖn quang thiÓm, ®? linh h­ëng, l«i thanh chÊn, thiªn l? dÜ thµnh th©n hËu  méng"	0	5000	5	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
Truy ®iÖn	0	10	28	\spr\item\equip\horse\horse041.spr	40	2	3	"§iÖn quang thiÓm, ®? linh h­ëng, l«i thanh chÊn, thiªn l? dÜ thµnh th©n hËu  méng"	0	5000	6	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
Truy ®iÖn	0	10	28	\spr\item\equip\horse\horse041.spr	40	2	3	"§iÖn quang thiÓm, ®? linh h­ëng, l«i thanh chÊn, thiªn l? dÜ thµnh th©n hËu  méng"	0	5000	7	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
Truy ®iÖn	0	10	28	\spr\item\equip\horse\horse041.spr	40	2	3	"§iÖn quang thiÓm, ®? linh h­ëng, l«i thanh chÊn, thiªn l? dÜ thµnh th©n hËu  méng"	0	5000	8	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
Truy ®iÖn	0	10	28	\spr\item\equip\horse\horse041.spr	40	2	3	"§iÖn quang thiÓm, ®? linh h­ëng, l«i thanh chÊn, thiªn l? dÜ thµnh th©n hËu  méng"	0	5000	9	0	111	120%	120%	93	1500	1500	233	1500	1500	150	700	700	241	20	20							36	150										
