Tªn Trang BÞ	ItemGenre	DetailType	ParticularType	SPR		Ngang	Däc				Level																																			Dßng HiÖn	Dßng Èn	Dßng HiÖn	Dßng Èn	Dßng HiÖn	Dßng Èn	Opt	Opt		Skill	Dßng Cuèi		
Kim ¤ Long HuyÕt Tr­îng	0	0	2	\spr\item\equip\closeweapon\obj-staff15.spr	11	1	4	Bé trang bÞ C¸i Bang c«n ph¸p cÊp Kim ¤(7)	2	99999	10	0	28	69	69	29	128	128	167	-30	-30	31	99	99										36	120	39	6									2715	2265	1985	2025	2105	2185	366	391	7		1670	2	6
Kim ¤ Long HuyÕt Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes25.spr	26	2	2	Bé trang bÞ C¸i Bang c«n ph¸p cÊp Kim ¤(8)	1	99999	10	0	30	160	160	31	80	80																36	120	39	6									1705	2345	1745	1905	1945	2185	366	391	8	1437	2225	2	6
Kim ¤ Long HuyÕt Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist26.spr	36	1	2	Bé trang bÞ C¸i Bang c«n ph¸p cÊp Kim ¤(9)	3	99999	10	0																						36	120	39	6									1705	2305	1745	1785	2105	2185	366	391	9	1431	2225	2	6
Kim ¤ Long HuyÕt H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring24.spr	37	1	1	Bé trang bÞ C¸i Bang c«n ph¸p cÊp Kim ¤(10)	4	99999	10	0																						36	120	39	6									1705	2385	1745	1825	2105	2185	366	391	10		1670	2	6
Kim ¤ D¹ng Phong H¹ng Khuyªn	0	4	1	\spr\item\equip\nick\obj-neck22.spr	36	2	1	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Kim ¤(1)	0	99999	10	0																						36	120	39	7									1705	2425	1745	1865	2145	2185	367	392	1	1453	2225	2	6
Kim ¤ D¹ng Phong Kh«i	0	7	2	\spr\item\equip\cap\obj-ma-cap26.spr	28	2	2	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Kim ¤(2)	2	99999	10	0	30	360	360	31	85	85																36	120	39	7									1705	2265	1745	1785	2105	2185	367	392	2		2225	2	6
Kim ¤ D¹ng Phong Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring17.spr	37	1	1	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Kim ¤(3)	1	99999	10	0																						36	120	39	7									1705	2345	1745	1905	2105	2185	367	392	3		1670	2	6
Kim ¤ D¹ng Phong Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle26.spr	34	1	2	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Kim ¤(4)	3	99999	10	0	30	135	135	31	80	80																36	120	39	7									1705	2305	1745	1785	2105	2185	367	392	4	1465	2785	2	6
Kim ¤ D¹ng Phong Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash26.spr	33	2	1	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Kim ¤(5)	4	99999	10	0	30	160	160	31	80	80																36	120	39	7									1705	2385	1745	1825	2105	2185	367	392	5	1447	2225	2	6
Kim ¤ D¹ng Phong Gi¸p Y	0	2	2	\spr\item\equip\armor\obj-ma-cloth26.spr	23	2	3	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Kim ¤(6)	0	99999	10	0	30	720	720	31	90	90																36	120	39	7									1705	2425	1745	1865	2613	2185	367	392	6		2785	2	6
Kim ¤ D¹ng Phong Th­¬ng	0	0	3	\spr\item\equip\closeweapon\obj-spear05.spr	12	1	4	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Kim ¤(7)	2	99999	10	0	28	18	18	29	158	158	167	-30	-30	31	99	99										36	120	39	7									2716	2265	1985	2025	2105	2185	367	392	7		1670	2	6
Kim ¤ D¹ng Phong Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes26.spr	26	2	2	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Kim ¤(8)	1	99999	10	0	30	160	160	31	80	80																36	120	39	7									1705	2345	1745	1905	1945	2185	367	392	8		2225	2	6
Kim ¤ D¹ng Phong Béi	0	9	1	\spr\item\equip\waist\obj-waist22.spr	36	1	2	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Kim ¤(9)	3	99999	10	0																						36	120	39	7									1705	2305	1745	1785	2105	2185	367	392	9	1459	2225	2	6
Kim ¤ D¹ng Phong H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring18.spr	37	1	1	Bé trang bÞ Thiªn NhÉn m©u ph¸p cÊp Kim ¤(10)	4	99999	10	0																						36	120	39	7									1705	2385	1745	1825	2105	2185	367	392	10		1670	2	6
Kim ¤ ¸nh HuyÕt H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck22.spr	36	2	1	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Kim ¤(1)	1	99999	10	0																						36	120	39	7									1705	2425	1745	1865	2145	2185	368	393	1	1481	2225	2	6
Kim ¤ ¸nh HuyÕt Qu¸n MiÖn	0	7	2	\spr\item\equip\cap\obj-ma-cap26.spr	28	2	2	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Kim ¤(2)	3	99999	10	0	30	360	360	31	85	85																36	120	39	7									1705	2265	1745	1785	2105	2185	368	393	2		2225	2	6
Kim ¤ ¸nh HuyÕt Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring17.spr	37	1	1	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Kim ¤(3)	4	99999	10	0																						36	120	39	7									1705	2345	1745	1905	2105	2185	368	393	3		1670	2	6
Kim ¤ ¸nh HuyÕt Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle26.spr	34	1	2	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Kim ¤(4)	0	99999	10	0	30	135	135	31	80	80																36	120	39	7									1705	2305	1745	1785	2105	2185	368	393	4		2785	2	6
Kim ¤ ¸nh HuyÕt Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash26.spr	33	2	1	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Kim ¤(5)	2	99999	10	0	30	160	160	31	80	80																36	120	39	7									1705	2385	1745	1825	2105	2185	368	393	5	1475	2225	2	6
Kim ¤ ¸nh HuyÕt Gi¸p	0	2	2	\spr\item\equip\armor\obj-ma-cloth26.spr	23	2	3	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Kim ¤(6)	1	99999	10	0	30	720	720	31	90	90																36	120	39	7									1705	2425	1745	1865	2613	2185	368	393	6		2785	2	6
Kim ¤ ¸nh HuyÕt §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade26.spr	10	1	3	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Kim ¤(7)	3	99999	10	0	28	40	40	29	100	100	167	-30	-30	31	99	99										36	120	39	7									2734	2265	2505	1785	2105	2185	368	393	7		1670	2	6
Kim ¤ ¸nh HuyÕt Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes26.spr	26	2	2	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Kim ¤(8)	4	99999	10	0	30	160	160	31	80	80																36	120	39	7									1705	2345	1745	1905	1945	2185	368	393	8	1493	2225	2	6
Kim ¤ ¸nh HuyÕt Béi	0	9	1	\spr\item\equip\waist\obj-waist22.spr	34	1	2	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Kim ¤(9)	0	99999	10	0																						36	120	39	7									1705	2305	1745	1785	2105	2185	368	393	9	1487	2225	2	6
Kim ¤ ¸nh HuyÕt H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring18.spr	37	1	1	Bé trang bÞ Thiªn NhÉn ®ao ph¸p cÊp Kim ¤(10)	2	99999	10	0																						36	120	39	7									1705	2385	1745	1825	2105	2185	368	393	10		1670	2	6
Kim ¤ Lôc Hîp Phï	0	4	1	\spr\item\equip\nick\obj-neck25.spr	36	2	1	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Kim ¤(1)	3	99999	10	0																						36	120	39	8									1705	2425	1745	1865	2145	2185	369	394	1	1509	2225	2	6
Kim ¤ Lôc Hîp Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap27.spr	28	2	2	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Kim ¤(2)	4	99999	10	0	30	360	360	31	85	85																36	120	39	8									1705	2265	1745	1785	2105	2185	369	394	2		2225	2	6
Kim ¤ Lôc Hîp Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring23.spr	37	1	1	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Kim ¤(3)	0	99999	10	0																						36	120	39	8									1705	2345	1745	1905	2105	2185	369	394	3		1670	2	6
Kim ¤ Lôc Hîp Tô	0	8	1	\Spr\item\equip\bangle\obj-bangle27.spr	34	1	2	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Kim ¤(4)	2	99999	10	0	30	135	135	31	80	80																36	120	39	8									1705	2305	1745	1785	2105	2185	369	394	4		2785	2	6
Kim ¤ Lôc Hîp Ph¸p §¸i	0	6	1	\spr\item\equip\sash\obj-sash27.spr	33	2	1	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Kim ¤(5)	1	99999	10	0	30	160	160	31	80	80																36	120	39	8									1705	2385	1745	1825	2105	2185	369	394	5	1503	2225	2	6
Kim ¤ Lôc Hîp §¹o Bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth27.spr	24	2	3	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Kim ¤(6)	3	99999	10	0	30	720	720	31	90	90																36	120	39	8									1705	2425	1745	1865	2613	2185	369	394	6		2785	2	6
Kim ¤ Lôc Hîp KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword25.spr	9	1	3	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Kim ¤(7)	4	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	120	39	8									2734	2265	2545	1785	2105	2185	369	394	7		1670	2	6
Kim ¤ Lôc Hîp Lý	0	5	0	\spr\item\equip\boots\obj-shoes27.spr	26	2	2	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Kim ¤(8)	0	99999	10	0	30	160	160	31	80	80																36	120	39	8									1705	2345	1745	1905	1945	2185	369	394	8	1521	2225	2	6
Kim ¤ Lôc Hîp Ngäc Béi	0	9	1	\spr\item\equip\waist\obj-waist26.spr	36	1	2	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Kim ¤(9)	2	99999	10	0																						36	120	39	8									1705	2305	1745	1785	2105	2185	369	394	9	1515	2225	2	6
Kim ¤ Lôc Hîp H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring24.spr	37	1	1	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Kim ¤(10)	1	99999	10	0																						36	120	39	8									1705	2385	1745	1825	2105	2185	369	394	10		1670	2	6
Kim ¤ Th¸i Hßa Phï	0	4	1	\spr\item\equip\nick\obj-neck25.spr	36	2	1	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Kim ¤(1)	0	99999	10	0																						36	120	39	8									1705	2425	1745	1865	2145	2185	370	395	1	1537	2225	2	6
Kim ¤ Th¸i Hßa Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap27.spr	28	2	2	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Kim ¤(2)	2	99999	10	0	30	360	360	31	85	85																36	120	39	8									1705	2265	1745	1785	2105	2185	370	395	2		2225	2	6
Kim ¤ Th¸i Hßa Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring23.spr	37	1	1	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Kim ¤(3)	1	99999	10	0																						36	120	39	8									1705	2345	1745	1905	2105	2185	370	395	3		1670	2	6
Kim ¤ Th¸i Hßa Tô	0	8	1	\Spr\item\equip\bangle\obj-bangle27.spr	34	1	2	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Kim ¤(4)	3	99999	10	0	30	135	135	31	80	80																36	120	39	8									1705	2305	1745	1785	2105	2185	370	395	4	1549	2785	2	6
Kim ¤ Th¸i Hßa Ph¸p §¸i	0	6	0	\spr\item\equip\sash\obj-sash27.spr	32	2	1	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Kim ¤(5)	4	99999	10	0	30	160	160	31	80	80																36	120	39	8									1705	2385	1745	1825	2105	2185	370	395	5	1531	2225	2	6
Kim ¤ Th¸i Hßa §¹o Bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth27.spr	24	2	3	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Kim ¤(6)	0	99999	10	0	30	720	720	31	90	90																36	120	39	8									1705	2425	1745	1865	2613	2185	370	395	6		2785	2	6
Kim ¤ Th¸i Hßa KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword25.spr	9	1	3	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Kim ¤(7)	2	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	120	39	8									2715	2265	1985	2025	2105	2185	370	395	7		1670	2	6
Kim ¤ Th¸i Hßa Lý	0	5	0	\spr\item\equip\boots\obj-shoes27.spr	26	2	2	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Kim ¤(8)	1	99999	10	0	30	160	160	31	80	80																36	120	39	8									1705	2345	1745	1905	1945	2185	370	395	8		2225	2	6
Kim ¤ Th¸i Hßa Ngäc Béi	0	9	1	\spr\item\equip\waist\obj-waist26.spr	36	1	2	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Kim ¤(9)	3	99999	10	0																						36	120	39	8									1705	2305	1745	1785	2105	2185	370	395	9	1543	2225	2	6
Kim ¤ Th¸i Hßa H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring24.spr	37	1	1	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Kim ¤(10)	4	99999	10	0																						36	120	39	8									1705	2385	1745	1825	2105	2185	370	395	10		1670	2	6
Kim ¤ NguyÖt ¶nh H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck25.spr	36	2	1	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Kim ¤(1)	0	99999	10	0																						36	120	39	9									1705	2425	1745	1865	2145	2185	371	396	1	1565	2225	2	6
Kim ¤ NguyÖt ¶nh §¹o Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap27.spr	28	2	2	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Kim ¤(2)	2	99999	10	0	30	360	360	31	85	85																36	120	39	9									1705	2265	1745	1785	2105	2185	371	396	2		2225	2	6
Kim ¤ NguyÖt ¶nh Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring23.spr	37	1	1	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Kim ¤(3)	1	99999	10	0																						36	120	39	9									1705	2345	1745	1905	2105	2185	371	396	3		1670	2	6
Kim ¤ NguyÖt ¶nh Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle27.spr	34	1	2	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Kim ¤(4)	3	99999	10	0	30	135	135	31	80	80																36	120	39	9									1705	2305	1745	1785	2105	2185	371	396	4	1577	2785	2	6
Kim ¤ NguyÖt ¶nh Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash27.spr	33	2	1	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Kim ¤(5)	4	99999	10	0	30	160	160	31	80	80																36	120	39	9									1705	2385	1745	1825	2105	2185	371	396	5	1559	2225	2	6
Kim ¤ NguyÖt ¶nh §¹o Bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth27.spr	24	2	3	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Kim ¤(6)	0	99999	10	0	30	720	720	31	90	90																36	120	39	9									1705	2425	1745	1865	2613	2185	371	396	6		2785	2	6
Kim ¤ NguyÖt ¶nh B¶o §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade25.spr	10	1	4	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Kim ¤(7)	2	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	120	39	9									2716	2265	1985	2025	2105	2185	371	396	7		1670	2	6
Kim ¤ NguyÖt ¶nh Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes27.spr	26	2	2	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Kim ¤(8)	1	99999	10	0	30	160	160	31	80	80																36	120	39	9									1705	2345	1745	1905	1945	2185	371	396	8		2225	2	6
Kim ¤ NguyÖt ¶nh Béi	0	9	1	\spr\item\equip\waist\obj-waist26.spr	36	1	2	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Kim ¤(9)	3	99999	10	0																						36	120	39	9									1705	2305	1745	1785	2105	2185	371	396	9	1570	2225	2	6
Kim ¤ NguyÖt ¶nh H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring24.spr	37	1	1	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Kim ¤(10)	4	99999	10	0																						36	120	39	9									1705	2385	1745	1825	2105	2185	371	396	10		1670	2	6
Kim ¤ T­êng V©n Phï	0	4	1	\spr\item\equip\nick\obj-neck25.spr	36	2	1	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Kim ¤(1)	3	99999	10	0																						36	120	39	9									1705	2425	1745	1865	2145	2185	372	397	1	1593	2225	2	6
Kim ¤ T­êng V©n §¹o Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap27.spr	28	2	2	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Kim ¤(2)	4	99999	10	0	30	360	360	31	85	85																36	120	39	9									1705	2265	1745	1785	2105	2185	372	397	2		2225	2	6
Kim ¤ T­êng V©n Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring23.spr	37	1	1	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Kim ¤(3)	0	99999	10	0																						36	120	39	9									1705	2345	1745	1905	2105	2185	372	397	3		1670	2	6
Kim ¤ T­êng V©n Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle27.spr	34	1	2	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Kim ¤(4)	2	99999	10	0	30	135	135	31	80	80																36	120	39	9									1705	2305	1745	1785	2105	2185	372	397	4		2785	2	6
Kim ¤ T­êng V©n TriÒn Yªu	0	6	0	\spr\item\equip\sash\obj-sash27.spr	32	2	1	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Kim ¤(5)	1	99999	10	0	30	160	160	31	80	80																36	120	39	9									1705	2385	1745	1825	2105	2185	372	397	5	1587	2225	2	6
Kim ¤ T­êng V©n §¹o Bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth27.spr	24	2	3	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Kim ¤(6)	3	99999	10	0	30	720	720	31	90	90																36	120	39	9									1705	2425	1745	1865	2613	2185	372	397	6		2785	2	6
Kim ¤ T­êng V©n B¶o KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword26.spr	9	1	3	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Kim ¤(7)	4	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	120	39	9									2735	2265	2545	1785	2105	2185	372	397	7		1670	2	6
Kim ¤ T­êng V©n Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes27.spr	26	2	2	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Kim ¤(8)	0	99999	10	0	30	160	160	31	80	80																36	120	39	9									1705	2345	1745	1905	1945	2185	372	397	8	1605	2225	2	6
Kim ¤ T­êng V©n Béi	0	9	1	\spr\item\equip\waist\obj-waist26.spr	36	1	2	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Kim ¤(9)	2	99999	10	0																						36	120	39	9									1705	2305	1745	1785	2105	2185	372	397	9	1599	2225	2	6
Kim ¤ T­êng V©n H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring24.spr	37	1	1	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Kim ¤(10)	1	99999	10	0																						36	120	39	9									1705	2385	1745	1825	2105	2185	372	397	10		1670	2	6
Kim ¤ Minh NguyÖt H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	"Trang bÞ Hoµng Kim, Kim ¤ cÊp trang bÞ khÝ t«ng Hoa S¬n mãn thø nhÊt"	3	99999	10	0																						36	120	39	10									1705	2425	1745	1865	2145	2185	373	398	1	1649	2225	2	6
Kim ¤ Minh NguyÖt Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap06-3.spr	28	2	2	"Trang bÞ Hoµng Kim, Kim ¤ cÊp trang bÞ khÝ t«ng Hoa S¬n mãn thø hai"	4	99999	10	0	30	360	360	31	85	85																36	120	39	10									1705	2265	1745	1785	2105	2185	373	398	2		2225	2	6
Kim ¤ Minh NguyÖt Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	"Trang bÞ Hoµng Kim, Kim ¤ cÊp trang bÞ khÝ t«ng Hoa S¬n mãn thø ba"	0	99999	10	0																						36	120	39	10									1705	2345	1745	1905	2105	2185	373	398	3		1670	2	6
Kim ¤ Minh NguyÖt Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle13.spr	34	1	2	"Trang bÞ Hoµng Kim, Kim ¤ cÊp trang bÞ khÝ t«ng Hoa S¬n mãn thø t­"	2	99999	10	0	30	135	135	31	80	80																36	120	39	10									1705	2305	1745	1785	2105	2185	373	398	4		2785	2	6
Kim ¤ Minh NguyÖt Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash20.spr	33	2	1	"Trang bÞ Hoµng Kim, Kim ¤ cÊp trang bÞ khÝ t«ng Hoa S¬n mãn thø n¨m"	1	99999	10	0	30	160	160	31	80	80																36	120	39	10									1705	2385	1745	1825	2105	2185	373	398	5	1643	2225	2	6
Kim ¤ Minh NguyÖt Y	0	2	1	\spr\item\equip\armor\obj-ma-cloth20-3.spr	24	2	3	"Trang bÞ Hoµng Kim, Kim ¤ cÊp trang bÞ khÝ t«ng Hoa S¬n mãn thø s¸u"	3	99999	10	0	30	720	720	31	90	90																36	120	39	10									1705	2425	1745	1865	2614	2185	373	398	6		2785	2	6
Kim ¤ Minh NguyÖt KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword67.spr	9	1	3	"Trang bÞ Hoµng Kim, Kim ¤ cÊp trang bÞ khÝ t«ng Hoa S¬n mãn thø b¶y"	4	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	120	39	10									2734	2265	2465	1785	2105	2185	373	398	7		1670	2	6
Kim ¤ Minh NguyÖt Hµi	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	"Trang bÞ Hoµng Kim, Kim ¤ cÊp trang bÞ khÝ t«ng Hoa S¬n mãn thø t¸m"	0	99999	10	0	30	160	160	31	80	80																36	120	39	10									1705	2345	1745	1905	1945	2185	373	398	8	1661	2225	2	6
Kim ¤ Minh NguyÖt H­¬ng Nang	0	9	1	\spr\item\equip\waist\obj-waist20.spr	36	1	2	"Trang bÞ Hoµng Kim, Kim ¤ cÊp trang bÞ khÝ t«ng Hoa S¬n mãn thø chÝn"	2	99999	10	0																						36	120	39	10									1705	2305	1745	1785	2105	2185	373	398	9	1655	2225	2	6
Kim ¤ Minh NguyÖt H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	"Trang bÞ Hoµng Kim, Kim ¤ cÊp trang bÞ khÝ t«ng Hoa S¬n mãn thø 10"	1	99999	10	0																						36	120	39	10									1705	2385	1745	1825	2105	2185	373	398	10		1670	2	6
Kim ¤ Nam Ch©u H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	"Trang bÞ Hoµng Kim, Kim ¤ cÊp trang bÞ kiÕm t«ng Hoa S¬n mãn thø nhÊt"	0	99999	10	0																						36	120	39	10									1705	2425	1745	1865	2145	2185	374	399	1	1621	2225	2	6
Kim ¤ Nam Ch©u Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap06-3.spr	28	2	2	"Trang bÞ Hoµng Kim, Kim ¤ cÊp trang bÞ kiÕm t«ng Hoa S¬n mãn thø hai"	2	99999	10	0	30	360	360	31	85	85																36	120	39	10									1705	2265	1745	1785	2105	2185	374	399	2		2225	2	6
Kim ¤ Nam Ch©u Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	"Trang bÞ Hoµng Kim, Kim ¤ cÊp trang bÞ kiÕm t«ng Hoa S¬n mãn thø ba"	1	99999	10	0																						36	120	39	10									1705	2345	1745	1905	2105	2185	374	399	3		1670	2	6
Kim ¤ Nam Ch©u Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle14.spr	34	1	2	"Trang bÞ Hoµng Kim, Kim ¤ cÊp trang bÞ kiÕm t«ng Hoa S¬n mãn thø t­"	3	99999	10	0	30	135	135	31	80	80																36	120	39	10									1705	2305	1745	1785	2105	2185	374	399	4	1633	2785	2	6
Kim ¤ Nam Ch©u Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash10.spr	32	2	1	"Trang bÞ Hoµng Kim, Kim ¤ cÊp trang bÞ kiÕm t«ng Hoa S¬n mãn thø n¨m"	4	99999	10	0	30	160	160	31	80	80																36	120	39	10									1705	2385	1745	1825	2105	2185	374	399	5	1615	2225	2	6
Kim ¤ Nam Ch©u Y	0	2	1	\spr\item\equip\armor\obj-ma-cloth20-3.spr	24	2	3	"Trang bÞ Hoµng Kim, Kim ¤ cÊp trang bÞ kiÕm t«ng Hoa S¬n mãn thø s¸u"	0	99999	10	0	30	720	720	31	90	90																36	120	39	10									1705	2425	1745	1865	2614	2185	374	399	6		2785	2	6
Kim ¤ Nam Ch©u KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword67.spr	9	1	3	"Trang bÞ Hoµng Kim, Kim ¤ cÊp trang bÞ kiÕm t«ng Hoa S¬n mãn thø b¶y"	2	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	120	39	10									2714	2265	1985	1785	2105	2185	374	399	7		1670	2	6
Kim ¤ Nam Ch©u Hµi	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	"Trang bÞ Hoµng Kim, Kim ¤ cÊp trang bÞ kiÕm t«ng Hoa S¬n mãn thø t¸m"	1	99999	10	0	30	160	160	31	80	80																36	120	39	10									1705	2345	1745	1905	1945	2185	374	399	8		2225	2	6
Kim ¤ Nam Ch©u H­¬ng Nang	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	"Trang bÞ Hoµng Kim, Kim ¤ cÊp trang bÞ kiÕm t«ng Hoa S¬n mãn thø chÝn"	3	99999	10	0																						36	120	39	10									1705	2305	1745	1785	2105	2185	374	399	9	1627	2225	2	6
Kim ¤ Nam Ch©u H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	"Trang bÞ Hoµng Kim, Kim ¤ cÊp trang bÞ kiÕm t«ng Hoa S¬n mãn thø 10"	4	99999	10	0																						36	120	39	10									1705	2385	1745	1825	2105	2185	374	399	10		1670	2	6
B¹ch Hæ Phæ TÕ Ch©u Liªn	0	4	1	\spr\item\equip\nick\obj-neck24.spr	36	2	1	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp B¹ch Hæ(1)	2	99999	10	0																						36	120	39	0									1706	2426	1746	1866	2146	2186	400	425	1	1007	2226	2	7
